asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
eth,2025-01-08 00:00:00+00:00,528335.0,76650.05064174107,400668567586.948,322305058044.1016,530746.478009976,flash,2025-01-09T02:23:21.126247000Z,504955.79471886175,flash,2025-01-09T02:41:45.865633000Z,2433003.882228535,164680.611697155,1.2431345943448513,25790.683291114223
eth,2025-01-09 00:00:00+00:00,538508.0,77285.45327559714,387637416928.6903,320683939620.1556,455973.44268026575,flash,2025-01-10T02:13:42.957866000Z,499290.5504683493,flash,2025-01-10T02:31:55.287915000Z,2680213.0815234566,144629.3280190819,1.208783381505915,-43317.10778808355
eth,2025-01-10 00:00:00+00:00,549307.0,76535.49203688181,393961524359.5528,321342011200.42926,353733.60603493045,flash,2025-01-11T02:16:34.257510000Z,358511.88162489294,flash,2025-01-11T02:35:03.265923000Z,1890417.9677831724,208399.1641391019,1.2259882325620626,-4778.27558996249
eth,2025-01-11 00:00:00+00:00,578859.0,77777.22025139663,395969556180.51495,320615427061.1813,115379.84131617952,flash,2025-01-12T03:27:44.445420000Z,105958.5226004516,flash,2025-01-12T03:46:23.816018000Z,789151.1872997836,501766.4074426509,1.23502964224162,9421.318715727915
eth,2025-01-12 00:00:00+00:00,539823.0,72827.87590630227,392578579709.5509,319187311717.7396,226250.64264236685,flash,2025-01-13T02:45:29.481250000Z,207769.66062154705,flash,2025-01-13T03:04:25.997840000Z,1275413.7544018563,307804.88163518545,1.2299316586140236,18480.9820208198
eth,2025-01-13 00:00:00+00:00,554991.0,78366.13045302013,377518896911.6239,315338347327.9749,589425.2530497103,flash,2025-01-14T02:12:42.510798000Z,566002.8886996573,flash,2025-01-14T02:31:26.383105000Z,2767017.765093874,136435.29928649234,1.1971867681508988,23422.364350053016
eth,2025-01-14 00:00:00+00:00,599208.0,76389.7241861115,388783965974.7603,314754234378.30817,332115.4971458456,flash,2025-01-15T04:17:13.567173000Z,323732.6980240786,flash,2025-01-15T04:35:42.711753000Z,1800052.1955872383,215984.82917764824,1.235198524787675,8382.799121766991
eth,2025-01-15 00:00:00+00:00,570274.0,77841.67992741485,414631307191.7593,316798090696.0437,289504.07673188375,flash,2025-01-16T02:24:32.640547000Z,315200.09630855336,flash,2025-01-16T02:24:32.723119000Z,1661731.92874716,249517.56659352683,1.3088188324644388,-25696.01957666961
eth,2025-01-16 00:00:00+00:00,556504.0,78459.03725927994,398019117204.5365,314818493020.08307,443974.576478716,flash,2025-01-17T02:43:09.039781000Z,437749.4986273828,flash,2025-01-17T02:43:09.124624000Z,2193033.942855376,181492.4563758951,1.2642812478590508,6225.07785133319
eth,2025-01-17 00:00:00+00:00,545962.0,79029.4413571628,419205659818.7029,317569861242.6646,550800.1608900235,flash,2025-01-18T02:59:31.450324000Z,532067.1926198766,flash,2025-01-18T02:59:31.532833000Z,2489864.008843193,168364.88190914033,1.320042330775134,18732.96827014687
